afghanistan,afraid,army,battle,combat,conflict,cyber,cybersecurity,enemies,enemy,fear,fears,fight,fights,force,fought,genocide,iran,iraq,isis,israel,jihad,korea,length,marine,marines,militant,military,missile,missiles,navy,nuclear,president,proxy,qaeda,russia,soldier,soldiers,soviet,struggle,taliban,terror,terrorism,terrorist,terrorists,threat,threaten,threatens,threats,trench,trenches,troop,troops,ussr,vietnam,war,warfare,wars,wartime,year
4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,16.0,0.0,16.0,0.0,1.0,7.0,39.0,0.0,3.0,0.0,1.0,5752.0,4.0,2.0,0.0,6.0,1.0,1.0,0.0,4.0,Bush,0.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,23.0,0.0,17.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,2008.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4580.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,Carter,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,1978.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3243.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,13.0,Carter,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1979.0
8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,1.0,3396.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,6.0,Carter,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,2.0,2.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,1980.0
18.0,0.0,3.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,83.0,1.0,0.0,15.0,5.0,5.0,13.0,0.0,3.0,33564.0,6.0,2.0,0.0,29.0,6.0,3.0,3.0,45.0,Carter,0.0,0.0,0.0,0.0,0.0,63.0,5.0,0.0,1.0,1.0,0.0,0.0,32.0,16.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,10.0,68.0,1.0,2.0,0.0,1981.0
0.0,0.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19746.0,1.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,Cleveland,0.0,0.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,44.0,0.0,0.0,0.0,1885.0
0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15135.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,Cleveland,0.0,0.0,1.0,8.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1886.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cleveland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1887.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9020.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,Cleveland,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1888.0
0.0,0.0,13.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12283.0,2.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,Cleveland,0.0,0.0,2.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,22.0,0.0,1.0,0.0,1893.0
