"","year","asylum","border","borders","canada","citizen","citizens","citizenship","cross","crossing","cuba","customs","deport","deportation","deportations","deported","detain","detained","documented","emigration","ethnic","foreign","foreigner","hispanic","illegal","immigrant","immigrants","immigrate","immigration","labor","laborers","latin","latino","mexican","mexico","migrant","migrants","minorities","minority","naturalization","naturalized","racial","racism","racist","refugee","refugees","separate","separated","undocumented","immigration_total","percent_immigration","afghanistan","afraid","army","battle","combat","conflict","cyber","cybersecurity","enemies","enemy","fear","fears","fight","fights","force","fought","genocide","iran","iraq","isis","israel","jihad","korea","marine","marines","militant","military","missile","missiles","navy","nuclear","proxy","qaeda","russia","soldier","soldiers","soviet","struggle","taliban","terror","terrorism","terrorist","terrorists","threat","threaten","threatens","threats","trench","trenches","troop","troops","ussr","vietnam","war","warfare","wars","wartime","war_total","percent_war","billionaire","billionaires","cash","class","consumer","consumers","crash","crashes","debt","demand","downturn","economic","economics","economy","employment","exchange","finance","financial","gdp","goods","growth","inflation","job","jobs","loan","loans","market","markets","millionaire","millionaires","paycheck","paychecks","pension","pensions","pocketbook","poor","poverty","price","prices","recession","retire","retirement","rich","saving","stock","stocks","tax","taxes","trade","unemployed","unemployment","economy_total","percent_economy","president","party","against","american","change","child","crisis","faith","family","great","hope","together","unite","interesting_total","percent_interesting"
"21",1886,0,0,0,1,42,30,9,3,1,1,7,0,0,0,0,0,0,0,1,0,16,2,0,1,0,0,0,0,21,0,12,0,8,12,0,0,0,0,2,4,0,0,0,0,0,0,0,0,173,1.14304592,0,0,5,1,0,2,0,0,1,0,1,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,1,8,6,0,3,0,1,0,0,0,6,6,1,0,1,0,0,0,0,0,26,0,0,0,88,0.581433763,0,0,1,6,1,0,0,0,8,11,0,2,0,6,0,3,1,1,0,0,4,0,0,0,0,0,3,2,0,0,0,0,32,11,0,1,0,12,2,0,1,0,0,3,0,0,13,0,8,0,0,132,0.872150644,"Cleveland","Democratic",13,21,16,2,0,3,2,17,10,3,37,124,0.819293029
"22",1887,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0.567214974,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,10,0.189071658,0,0,1,2,7,4,0,0,3,7,0,2,0,0,2,0,1,8,0,5,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,28,6,0,1,0,0,1,0,0,21,1,8,1,0,115,2.174324069,"Cleveland","Democratic",2,5,3,1,0,0,3,8,1,2,1,26,0.491586311
"23",1888,0,2,1,3,31,24,8,0,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,7,1,7,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,105,1.164079823,0,0,5,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,1,0,0,2,0,0,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,42,0.465631929,0,0,0,6,2,2,0,0,1,5,0,2,0,0,1,3,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,7,3,0,2,3,3,2,0,0,0,4,2,0,0,7,2,0,0,0,64,0.709534368,"Cleveland","Democratic",6,23,6,3,1,1,0,12,6,2,19,79,0.875831486
"24",1889,0,5,4,2,14,12,4,1,0,1,5,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,8,0,7,0,1,1,0,0,0,0,2,3,0,0,0,0,0,5,1,0,84,0.646104146,0,0,4,3,0,2,0,0,1,0,1,0,2,0,13,0,0,0,0,0,0,0,1,3,0,0,4,0,0,6,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,24,0,0,0,76,0.584570418,0,0,0,13,0,0,0,0,0,4,0,1,0,1,4,0,0,1,0,0,1,0,0,0,1,0,5,1,0,0,0,0,5,0,0,0,1,3,0,0,0,0,1,1,0,0,6,1,5,0,0,55,0.423044381,"Harrison","Republican",8,22,3,3,0,4,0,36,5,3,33,117,0.899930775
"25",1890,0,0,0,0,13,10,1,1,0,1,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,1,7,0,3,4,0,0,0,1,3,0,0,0,0,0,0,1,0,0,69,0.598854366,0,0,2,0,0,3,0,0,0,0,3,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,16,0,0,0,49,0.42527339,0,0,1,9,0,0,0,0,2,5,0,0,0,3,1,7,0,1,0,1,1,0,0,0,0,0,12,6,0,0,0,0,4,1,0,0,0,9,5,0,0,0,0,2,1,1,2,0,29,0,0,103,0.893942024,"Harrison","Republican",13,14,13,0,0,4,1,32,13,0,36,126,1.093560146
"26",1891,4,3,1,7,17,13,2,1,0,0,0,0,0,0,0,3,3,0,0,0,19,4,0,0,0,0,0,2,22,10,8,0,1,5,0,0,0,1,0,0,0,0,0,1,1,3,1,0,132,0.810213602,0,0,4,0,0,1,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,1,0,0,8,0,0,0,3,3,3,0,3,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,22,0,1,0,74,0.454210656,0,0,1,8,0,0,0,0,5,6,0,1,0,1,2,5,2,3,0,0,2,0,0,0,0,0,14,3,0,0,0,0,9,4,0,0,0,15,8,0,0,0,0,4,6,0,6,1,12,0,0,118,0.724281856,"Harrison","Republican",22,14,15,5,0,3,1,39,13,2,59,173,1.061870857
"27",1892,0,2,0,12,15,14,3,2,0,2,4,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,2,7,0,8,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0.709168007,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,0,0,0,0,1,1,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,20,0,0,0,52,0.38017254,0,0,2,2,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,5,1,0,0,0,0,0,10,5,0,0,0,0,9,5,0,0,0,6,3,0,1,1,1,3,0,0,0,0,25,1,0,94,0.687234976,"Harrison","Republican",15,39,15,1,0,2,1,54,8,2,42,179,1.308670858
"28",1893,2,1,1,1,19,16,1,0,0,2,2,3,2,0,1,0,0,0,0,0,10,0,0,1,1,1,0,1,10,4,2,0,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,90,0.73272002,0,0,13,7,0,5,0,0,0,0,1,0,0,0,12,1,0,1,0,0,0,0,0,2,0,0,11,0,0,10,0,0,0,2,3,3,0,4,0,1,0,0,0,1,1,0,0,0,0,4,4,0,0,22,0,1,0,109,0.887405357,0,0,0,5,0,0,0,0,0,10,0,1,1,6,1,2,0,5,0,1,0,0,0,0,0,0,4,1,0,0,0,0,23,7,0,0,0,3,1,0,1,0,0,0,2,0,9,3,4,0,0,90,0.73272002,"Cleveland","Democratic",14,19,11,2,0,3,1,28,5,4,42,129,1.050232028
"29",1894,2,1,0,1,16,12,2,1,0,1,5,0,0,0,0,1,0,0,1,0,17,2,0,0,0,0,0,0,9,0,14,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,92,0.578907626,0,0,15,6,0,1,0,0,0,0,3,1,0,0,19,2,0,0,0,0,0,0,2,1,1,0,9,0,0,18,0,0,0,8,6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,42,1,2,0,150,0.94387113,0,0,3,8,1,1,0,0,1,11,0,1,0,1,2,2,1,4,0,5,1,0,0,0,1,1,6,4,0,0,0,0,16,3,0,0,0,3,1,0,4,2,0,2,9,0,6,1,3,0,0,104,0.654417317,"Cleveland","Democratic",20,25,8,0,0,2,2,31,8,2,45,143,0.899823811
"30",1895,0,0,0,1,21,18,0,0,0,5,3,1,0,0,1,1,1,0,0,0,20,2,0,0,1,1,0,1,7,2,6,0,0,4,1,1,0,0,0,0,0,0,0,1,1,1,1,0,102,0.695249131,0,0,0,0,0,2,0,0,1,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,9,1,1,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,22,0,0,0,79,0.538477268,0,0,0,2,0,0,0,0,12,19,0,2,0,0,0,11,2,19,0,0,3,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,1,2,0,6,0,9,0,0,127,0.86565333,"Cleveland","Democratic",18,15,16,0,0,6,0,27,7,4,58,151,1.029241361
